Filename,Touches,Authors and Dates
app/build.gradle.kts,6,"[[""Niall Scott"", ""2024-10-04T07:42:57Z""], [""Scott Alexander-Bown"", ""2024-09-18T10:02:36Z""], [""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Artsem Kurantsou"", ""2024-08-17T14:34:47Z""], [""Artsem Kurantsou"", ""2024-08-05T18:31:03Z""], [""Artsem Kurantsou"", ""2024-08-04T21:18:36Z""]]"
app/proguard-rules.pro,4,"[[""Niall Scott"", ""2024-10-04T07:42:57Z""], [""Matthew Rollings"", ""2017-05-12T21:31:11Z""], [""Frieder Bluemle"", ""2017-05-11T16:41:00Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:10Z""]]"
build.gradle.kts,3,"[[""Niall Scott"", ""2024-10-04T07:42:57Z""], [""Artsem Kurantsou"", ""2024-08-17T14:34:47Z""], [""Artsem Kurantsou"", ""2024-08-04T21:18:36Z""]]"
gradle.properties,17,"[[""Niall Scott"", ""2024-10-04T07:42:57Z""], [""Scott Alexander-Bown"", ""2024-09-18T10:02:36Z""], [""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-21T14:40:38Z""], [""Scott Alexander-Bown"", ""2021-05-04T06:47:42Z""], [""Matthew Rollings"", ""2020-02-08T20:34:17Z""], [""Matthew Rollings"", ""2020-02-03T20:42:40Z""], [""Daniel Kutik"", ""2019-11-16T02:34:24Z""], [""Scott Alexander-Bown"", ""2018-06-14T16:02:26Z""], [""Matthew Rollings"", ""2017-05-12T21:31:11Z""], [""Frieder Bluemle"", ""2017-05-11T16:31:26Z""], [""Scott Alexander-Bown"", ""2017-03-29T11:25:16Z""], [""Scott Alexander-Bown"", ""2016-05-18T08:05:58Z""], [""Scott Alexander-Bown"", ""2016-03-14T21:04:13Z""], [""Scott Alexander-Bown"", ""2015-09-16T12:13:36Z""], [""Scott Alexander-Bown"", ""2015-06-30T15:51:16Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:10Z""]]"
gradle/libs.versions.toml,4,"[[""Niall Scott"", ""2024-10-04T07:42:57Z""], [""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Artsem Kurantsou"", ""2024-08-04T21:38:30Z""], [""Artsem Kurantsou"", ""2024-08-04T21:18:36Z""]]"
gradle/wrapper/gradle-wrapper.properties,17,"[[""Niall Scott"", ""2024-10-04T07:42:57Z""], [""Artsem Kurantsou"", ""2024-08-04T21:38:30Z""], [""Artsem Kurantsou"", ""2024-08-04T19:40:34Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""], [""Daniel Kutik"", ""2020-01-31T00:54:28Z""], [""mat"", ""2020-01-28T12:31:03Z""], [""Daniel Kutik"", ""2019-11-16T02:34:24Z""], [""Matthew Rollings"", ""2018-06-14T15:53:38Z""], [""Matthew Rollings"", ""2018-05-11T12:00:38Z""], [""Matthew Rollings"", ""2018-05-11T12:00:38Z""], [""Matthew Rollings"", ""2017-05-12T21:31:11Z""], [""Frieder Bluemle"", ""2017-05-11T16:31:26Z""], [""Matthew Rollings"", ""2017-03-24T14:49:14Z""], [""Scott Alexander-Bown"", ""2017-03-24T14:15:39Z""], [""matthew"", ""2017-03-13T22:35:27Z""], [""Scott Alexander-Bown"", ""2016-05-17T15:21:28Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:10Z""]]"
rootbeerlib/build.gradle.kts,6,"[[""Niall Scott"", ""2024-10-04T07:42:57Z""], [""Scott Alexander-Bown"", ""2024-09-18T10:02:36Z""], [""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Artsem Kurantsou"", ""2024-08-05T19:48:03Z""], [""Artsem Kurantsou"", ""2024-08-05T19:38:36Z""], [""Artsem Kurantsou"", ""2024-08-04T21:18:36Z""]]"
rootbeerlib/proguard-rules.pro,4,"[[""Niall Scott"", ""2024-10-04T07:42:57Z""], [""Matthew Rollings"", ""2017-05-12T21:31:11Z""], [""Frieder Bluemle"", ""2017-05-11T16:41:00Z""], [""Scott Alexander-Bown"", ""2015-06-26T15:50:40Z""]]"
settings.gradle.kts,4,"[[""Niall Scott"", ""2024-10-04T07:42:57Z""], [""Scott Alexander-Bown"", ""2024-09-18T10:02:36Z""], [""Artsem Kurantsou"", ""2024-08-05T18:31:03Z""], [""Artsem Kurantsou"", ""2024-08-04T21:18:36Z""]]"
rootbeerlib/gradle.properties,4,"[[""Scott Alexander-Bown"", ""2024-09-18T10:02:36Z""], [""Matthew Rollings"", ""2017-05-12T21:31:11Z""], [""Frieder Bluemle"", ""2017-05-11T16:41:00Z""], [""Scott Alexander-Bown"", ""2015-06-30T15:51:16Z""]]"
README.md,45,"[[""Scott Alexander-Bown"", ""2024-09-12T10:18:34Z""], [""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-06-07T08:54:51Z""], [""Harsh Mahajan"", ""2021-06-07T08:50:08Z""], [""Scott Alexander-Bown"", ""2021-05-04T07:04:38Z""], [""Prempal Singh"", ""2020-07-27T18:50:09Z""], [""Matthew Rollings"", ""2020-07-21T13:58:39Z""], [""Matthew Rollings"", ""2020-02-07T14:44:11Z""], [""mat"", ""2020-02-04T13:41:34Z""], [""Daniel Kutik"", ""2020-01-31T00:54:28Z""], [""Matthew Rollings"", ""2020-01-30T13:05:20Z""], [""mat"", ""2020-01-28T13:12:19Z""], [""mat"", ""2020-01-28T13:03:18Z""], [""mat"", ""2020-01-28T12:51:22Z""], [""zhqcqupt"", ""2019-11-29T17:15:51Z""], [""Matthew Rollings"", ""2019-06-10T10:29:09Z""], [""Jamie Cruwys"", ""2019-05-02T15:28:11Z""], [""Matthew Rollings"", ""2018-11-04T09:36:21Z""], [""Shanmugasanthosh"", ""2018-11-04T05:03:57Z""], [""Matthew Rollings"", ""2018-06-25T08:00:15Z""], [""Matthew Rollings"", ""2017-05-12T21:31:11Z""], [""Frieder Bluemle"", ""2017-05-11T16:41:00Z""], [""Scott Alexander-Bown"", ""2017-03-29T11:25:16Z""], [""Matthew Rollings"", ""2017-03-29T11:18:37Z""], [""Matthew Rollings"", ""2017-03-24T16:11:58Z""], [""Scott Alexander-Bown"", ""2016-07-01T20:21:13Z""], [""Scott Alexander-Bown"", ""2016-05-18T08:05:58Z""], [""Scott Alexander-Bown"", ""2016-03-14T21:04:13Z""], [""Scott Alexander-Bown"", ""2016-01-06T09:32:33Z""], [""Litrik De Roy"", ""2016-01-06T09:29:30Z""], [""Scott Alexander-Bown"", ""2015-09-17T12:49:01Z""], [""Scott Alexander-Bown"", ""2015-09-17T12:48:32Z""], [""Scott Alexander-Bown"", ""2015-07-01T08:28:32Z""], [""Scott Alexander-Bown"", ""2015-06-30T16:35:59Z""], [""Scott Alexander-Bown"", ""2015-06-30T15:31:31Z""], [""Matthew Rollings"", ""2015-06-30T15:07:09Z""], [""Matthew Rollings"", ""2015-06-30T15:06:34Z""], [""Matthew Rollings"", ""2015-06-30T15:04:49Z""], [""Scott Alexander-Bown"", ""2015-06-30T14:59:24Z""], [""Scott Alexander-Bown"", ""2015-06-30T14:45:12Z""], [""Scott Alexander-Bown"", ""2015-06-30T14:14:08Z""], [""Scott Alexander-Bown"", ""2015-06-29T13:06:14Z""], [""Scott Alexander-Bown"", ""2015-06-26T18:49:17Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:57Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:01:56Z""]]"
.circleci/config.yml,8,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""], [""Matthew Rollings"", ""2020-02-07T14:44:11Z""], [""mat"", ""2020-02-04T13:21:36Z""], [""Matthew Rollings"", ""2018-06-14T15:53:38Z""], [""Matthew Rollings"", ""2018-05-11T16:10:49Z""], [""Matthew Rollings"", ""2018-05-11T13:31:48Z""], [""Matthew Rollings"", ""2018-05-11T13:27:52Z""]]"
.github/ISSUE_TEMPLATE.md,1,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""]]"
.github/PULL_REQUEST_TEMPLATE.md,1,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""]]"
CHANGE_LOG.md,1,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""]]"
app/src/main/AndroidManifest.xml,12,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Artsem Kurantsou"", ""2024-08-04T19:40:34Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""], [""Deepak PK"", ""2020-03-11T09:28:40Z""], [""Matthew Rollings"", ""2020-02-03T20:42:40Z""], [""Daniel Kutik"", ""2019-11-16T02:34:24Z""], [""Scott Alexander-Bown"", ""2016-07-01T20:14:26Z""], [""Andy Barber"", ""2016-07-01T14:40:45Z""], [""Scott Alexander-Bown"", ""2015-10-01T15:20:16Z""], [""Alessandro Yuichi Okimoto"", ""2015-10-01T12:26:13Z""], [""Scott Alexander-Bown"", ""2015-06-26T15:50:40Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:10Z""]]"
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,6,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""grubeli"", ""2021-11-16T14:04:57Z""], [""Scott Alexander-Bown"", ""2021-05-24T07:46:20Z""], [""Scott Alexander-Bown"", ""2021-05-24T07:45:07Z""], [""Scott Alexander-Bown"", ""2021-05-21T14:40:38Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,4,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Artsem Kurantsou"", ""2024-08-05T18:31:03Z""], [""Artsem Kurantsou"", ""2024-08-04T19:40:34Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/java/com/scottyab/rootbeer/sample/RootItemResult.kt,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,3,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Artsem Kurantsou"", ""2024-08-04T19:40:34Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/java/com/scottyab/rootbeer/sample/ui/ResultIconView.kt,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,3,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Artsem Kurantsou"", ""2024-08-04T19:40:34Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootedResultTextView.kt,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/java/com/scottyab/rootbeer/sample/ui/ScopedActivity.kt,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/res/drawable/ic_check_circle_green_24dp.xml,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/res/drawable/ic_error_circle_outline_red_24dp.xml,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/res/drawable/ic_info_outline_white_24dp.xml,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/res/drawable/ic_lock_open_white_24dp.xml,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/res/layout/activity_main.xml,16,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""], [""Deepak PK"", ""2020-03-11T09:28:40Z""], [""Matthew Rollings"", ""2020-02-03T20:42:40Z""], [""Daniel Kutik"", ""2019-11-16T02:39:54Z""], [""Daniel Kutik"", ""2019-11-16T02:34:24Z""], [""Matthew Rollings"", ""2017-05-12T21:31:11Z""], [""Frieder Bluemle"", ""2017-05-11T16:41:00Z""], [""Scott Alexander-Bown"", ""2017-03-24T14:16:12Z""], [""Matthew Rollings"", ""2017-03-24T13:41:16Z""], [""Andy Barber"", ""2016-07-01T14:40:45Z""], [""Scott Alexander-Bown"", ""2015-09-16T12:14:10Z""], [""Matthew Rollings"", ""2015-06-30T15:06:34Z""], [""Scott Alexander-Bown"", ""2015-06-30T14:59:24Z""], [""Scott Alexander-Bown"", ""2015-06-29T13:06:14Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:10Z""]]"
app/src/main/res/layout/item_root_check.xml,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""]]"
app/src/main/res/menu/menu_main.xml,5,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""], [""Andy Barber"", ""2016-07-01T14:40:45Z""], [""Scott Alexander-Bown"", ""2015-06-29T13:06:14Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:10Z""]]"
app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T16:42:23Z""]]"
app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T16:42:23Z""]]"
app/src/main/res/values/colors.xml,4,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2016-07-01T14:26:07Z""], [""Andy Barber"", ""2016-07-01T14:40:45Z""], [""Scott Alexander-Bown"", ""2015-09-16T12:14:10Z""]]"
app/src/main/res/values/dimens.xml,4,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""], [""Andy Barber"", ""2016-07-01T14:40:45Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:10Z""]]"
app/src/main/res/values/strings.xml,8,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""], [""Matthew Rollings"", ""2017-05-12T21:31:11Z""], [""Frieder Bluemle"", ""2017-05-11T16:41:00Z""], [""Andy Barber"", ""2016-07-01T14:40:45Z""], [""Scott Alexander-Bown"", ""2015-06-29T13:06:14Z""], [""Scott Alexander-Bown"", ""2015-06-26T15:50:40Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:10Z""]]"
app/src/main/res/values/styles.xml,5,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Matthew Rollings"", ""2020-02-03T20:42:40Z""], [""Daniel Kutik"", ""2019-11-16T02:34:24Z""], [""Andy Barber"", ""2016-07-01T14:40:45Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:10Z""]]"
rootbeerlib/src/main/cpp/CMakeLists.txt,2,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-22T13:42:21Z""]]"
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,6,"[[""Scott Alexander-Bown"", ""2024-09-12T10:16:21Z""], [""Scott Alexander-Bown"", ""2021-05-08T14:18:37Z""], [""Matthew Rollings"", ""2019-03-14T12:24:58Z""], [""Scott Alexander-Bown"", ""2016-03-16T14:05:46Z""], [""Mohammed Ezzat"", ""2016-03-15T13:13:43Z""], [""Scott Alexander-Bown"", ""2015-06-30T14:14:08Z""]]"
gradle-mvn-push.gradle,2,"[[""Artsem Kurantsou"", ""2024-08-05T19:38:36Z""], [""Scott Alexander-Bown"", ""2020-03-16T11:44:07Z""]]"
gradle/wrapper/gradle-wrapper.jar,6,"[[""Artsem Kurantsou"", ""2024-08-04T21:38:30Z""], [""Matthew Rollings"", ""2020-02-03T20:42:40Z""], [""Daniel Kutik"", ""2019-11-16T02:34:24Z""], [""Matthew Rollings"", ""2017-05-12T21:31:11Z""], [""Frieder Bluemle"", ""2017-05-11T16:31:26Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:10Z""]]"
gradlew,4,"[[""Artsem Kurantsou"", ""2024-08-04T21:38:30Z""], [""Matthew Rollings"", ""2017-05-12T21:31:11Z""], [""Frieder Bluemle"", ""2017-05-11T16:31:26Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:10Z""]]"
gradlew.bat,5,"[[""Artsem Kurantsou"", ""2024-08-04T21:38:30Z""], [""Artsem Kurantsou"", ""2024-08-04T19:40:34Z""], [""Matthew Rollings"", ""2017-05-12T21:31:11Z""], [""Frieder Bluemle"", ""2017-05-11T16:31:26Z""], [""Scott Alexander-Bown"", ""2015-06-19T09:05:10Z""]]"
